Prioridade,Orçamento,Natureza,Tribunal de Origem,Autos do precatório,Valor Deferido,Situação,Local,Regime
Normal,2024,Comum,TJSC,5014664-05.2023.8.24.0000,148271.24,Indefinido,Município_de_Erval_Velho_Especial,Especial
Idade,2025,Alimentar,TJSC,5060318-15.2023.8.24.0000,136620.0,Indefinido,Município_de_Faxinal_dos_Guedes_Geral,Geral
Normal,2025,Alimentar,TJSC,5060318-15.2023.8.24.0000,164508.41,Indefinido,Município_de_Faxinal_dos_Guedes_Geral,Geral
Normal,2025,Alimentar,TJSC,5016016-61.2024.8.24.0000,122842.69,Indefinido,Município_de_Frei_Rogério_Geral,Geral
Normal,2025,Alimentar,TJSC,5018685-87.2024.8.24.0000,252054.65,Indefinido,Município_de_Frei_Rogério_Geral,Geral
Normal,2025,Alimentar,TJSC,5018686-72.2024.8.24.0000,252054.65,Indefinido,Município_de_Frei_Rogério_Geral,Geral
Normal,2025,Comum,TJSC,5027265-43.2023.8.24.0000,883659.79,Indefinido,Município_de_Guabiruba_Geral,Geral
Normal,2025,Alimentar,TJSC,5009775-71.2024.8.24.0000,161466.82,Indefinido,Município_de_Herval_d'Oeste_Geral,Geral
Normal,2025,Comum,TJSC,5003694-09.2024.8.24.0000,325811.96,Indefinido,Município_de_Herval_d'Oeste_Geral,Geral
Normal,2025,Comum,TJSC,5009776-56.2024.8.24.0000,252895.13,Indefinido,Município_de_Herval_d'Oeste_Geral,Geral
Normal,2025,Comum,TJSC,5018761-14.2024.8.24.0000,334282.2,Indefinido,Município_de_Herval_d'Oeste_Geral,Geral
Normal,2025,Comum,TJSC,5074801-50.2023.8.24.0000,134328.14,Indefinido,Município_de_Ibiam_Geral,Geral
Idade,2025,Alimentar,TJSC,5018482-28.2024.8.24.0000,100837.32,Indefinido,Município_de_Ipumirim_Geral,Geral
Normal,2026,Alimentar,TJSC,5021341-17.2024.8.24.0000,163634.67,Indefinido,Município_de_Ipumirim_Geral,Geral
Normal,2025,Comum,TJSC,5045102-14.2023.8.24.0000,179141.35,Indefinido,Município_de_Ituporanga_Especial,Especial
